OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.48735347,5,365,0.1107107843137254,1.0,1,0.0,1,1,1,1,3
WN,LGB,LAS,LCC,Hub-to-Hub,Medium,0.5011681,3,325,0.3566666666666666,1.0,1,1.0,2,1,1,1,1
MQ,ICT,DFW,Regional,Hub-to-Spoke,Small,0.7348828,0,511,0.1595238095238095,1.0,1,0.0,1,1,1,1,1
MQ,LIT,DFW,Regional,Hub-to-Hub,Medium,0.5564653,2,774,0.2071428571428571,1.0,1,0.0,1,1,1,1,3
UA,DSM,ORD,Mainline,Hub-to-Hub,Medium,0.5408089,1,458,0.0823809523809523,1.0,1,0.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.5125668,5,365,0.2126633986928104,1.0,1,1.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.42019778,5,205,0.219468954248366,1.0,1,1.0,2,1,1,1,3
OO,LFT,DFW,Regional,Hub-to-Spoke,Small,0.48211476,2,207,0.1049999999999999,1.0,1,1.0,1,1,1,1,3
OO,DRO,DEN,Regional,Hub-to-Spoke,Small,0.63439137,5,805,0.0994444444444444,1.0,1,1.0,2,1,1,1,1
OO,PSP,SLC,Regional,Hub-to-Hub,Medium,0.5427345,2,779,0.0888888888888888,1.0,1,0.0,1,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.4236904,4,265,0.2361356209150326,1.0,1,1.0,3,1,1,1,1
OO,FAR,ORD,Regional,Hub-to-Spoke,Small,0.5538601,2,828,0.1444444444444444,1.0,1,0.0,1,1,1,1,1
QX,BOI,SEA,Regional,Hub-to-Hub,Medium,0.6244257,2,540,0.0800443920258161,1.0,1,0.0,3,1,1,1,2
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.42343122,6,365,0.2627941176470588,1.0,1,1.0,3,1,1,1,1
MQ,BTR,DFW,Regional,Hub-to-Spoke,Small,0.6338474,2,525,0.1244444444444444,1.0,1,1.0,3,1,1,1,3
MQ,SGF,DFW,Regional,Hub-to-Spoke,Small,0.70918363,2,487,0.1103174603174603,1.0,1,1.0,2,1,1,1,3
OO,CLL,DFW,Regional,Hub-to-Spoke,Small,0.742914,2,518,0.1,1.0,1,1.0,2,1,1,1,1
B6,BQN,MCO,LCC,Hub-to-Spoke,Small,0.6433331,0,468,0.3194444444444445,1.0,1,1.0,3,1,1,1,3
OO,CLL,DFW,Regional,Hub-to-Spoke,Small,0.7353365,2,518,0.1166666666666666,1.0,1,1.0,3,1,1,1,2
OO,LFT,ATL,Regional,Hub-to-Spoke,Small,0.59178984,1,780,0.1444444444444444,1.0,1,1.0,3,2,2,1,3
B6,JAX,FLL,LCC,Hub-to-Hub,Medium,0.62795943,0,140,0.3,1.0,1,0.0,2,1,2,1,2
AA,TUS,DFW,Mainline,Hub-to-Hub,Medium,0.44984072,2,436,0.2144444444444444,1.0,1,0.0,3,1,1,1,1
NK,BQN,MCO,ULCC,Hub-to-Spoke,Small,0.4190157,1,1024,0.2611111111111111,1.0,1,0.0,2,1,1,1,3
OO,MOT,MSP,Regional,Hub-to-Spoke,Small,0.56948227,2,840,0.1,1.0,1,1.0,1,1,1,1,2
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.51687634,10,475,0.3580952380952381,1.0,1,1.0,5,1,1,1,6
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.49168035,6,365,0.3290032679738562,1.0,1,0.0,1,1,1,1,3
HA,KOA,HNL,Mainline,Hub-to-Hub,Medium,0.4408848,8,315,0.3524211087666465,1.0,1,1.0,1,1,1,1,1
OO,AGS,ATL,Regional,Hub-to-Spoke,Small,0.6287994,3,720,0.1222222222222222,1.0,1,1.0,1,1,1,1,1
OO,FSD,DFW,Regional,Hub-to-Spoke,Small,0.6727159,0,323,0.2444444444444444,1.0,1,1.0,3,1,1,1,3
HA,LIH,HNL,Mainline,Hub-to-Hub,Medium,0.49719554,9,475,0.3620634920634921,1.0,1,1.0,5,1,1,1,2
MQ,VPS,DFW,Regional,Hub-to-Spoke,Small,0.71750236,0,477,0.1833333333333333,1.0,1,0.0,1,1,2,1,2
MQ,CRP,DFW,Regional,Hub-to-Spoke,Small,0.6660084,0,523,0.2131746031746031,1.0,1,1.0,3,1,1,1,1
AA,STT,MIA,Mainline,Hub-to-Spoke,Small,0.44898036,1,204,0.0666666666666666,1.0,1,0.0,3,1,1,1,2
MQ,JAN,DFW,Regional,Hub-to-Spoke,Small,0.6633205,1,510,0.1933333333333333,1.0,1,0.0,1,1,1,1,3
QX,PSC,SEA,Regional,Hub-to-Spoke,Small,0.5315237,4,800,0.0714285714285714,1.0,1,0.0,1,1,1,1,4
9E,BTV,JFK,Regional,Hub-to-Spoke,Small,0.60298324,0,181,0.1133333333333333,1.0,1,0.0,3,1,1,1,3
AA,MFE,DFW,Mainline,Hub-to-Spoke,Small,0.5266317,2,451,0.1862698412698412,1.0,1,1.0,3,1,1,1,2
OO,FSM,DFW,Regional,Hub-to-Spoke,Small,0.6305665,1,525,0.225,1.0,1,1.0,3,1,1,1,1
OO,ACT,DFW,Regional,Hub-to-Spoke,Small,0.73723793,1,504,0.1861111111111111,1.0,1,1.0,1,1,1,1,3
WN,TUL,DAL,LCC,Hub-to-Hub,Medium,0.58235514,2,525,0.1583333333333333,1.0,1,1.0,2,1,1,1,1
OO,LFT,ATL,Regional,Hub-to-Spoke,Small,0.61667657,1,480,0.3166666666666666,1.0,1,1.0,1,1,1,1,1
OO,GJT,DEN,Regional,Hub-to-Spoke,Small,0.75081897,3,443,0.1733333333333333,1.0,1,1.0,3,1,1,1,2
UA,BIL,DEN,Mainline,Hub-to-Spoke,Small,0.58347875,0,258,0.1111111111111111,1.0,1,1.0,2,1,3,1,1
MQ,FNT,ORD,Regional,Hub-to-Spoke,Small,0.54437184,1,419,0.15,1.0,1,1.0,4,1,1,1,4
NK,BQN,MCO,ULCC,Hub-to-Spoke,Small,0.47146752,1,961,0.4444444444444445,1.0,1,1.0,2,1,2,1,2
OO,ABE,ATL,Regional,Hub-to-Spoke,Small,0.49048334,1,377,0.1777777777777777,1.0,1,1.0,3,1,1,1,1
OO,SHV,ATL,Regional,Hub-to-Spoke,Small,0.54397666,2,780,0.1055555555555555,1.0,1,1.0,4,1,1,1,3
